Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,101.669998,101.830002,99.709999,100.800003,100.800003,0
2000-01-08,100.699997,101.970001,100.239998,101.720001,101.720001,0
2000-01-15,101.809998,102.110001,101.120003,101.760002,101.760002,0
2000-01-22,102.230003,104.739998,101.839996,104.480003,104.480003,0
2000-01-29,104.449997,105.360001,103.419998,104.290001,104.290001,0
2000-02-05,104.300003,104.910004,103.360001,104.190002,104.190002,0
2000-02-12,104.199997,105.080002,103.669998,104.629997,104.629997,0
2000-02-19,104.389999,105.500000,102.919998,105.260002,105.260002,0
2000-02-26,105.279999,106.860001,104.589996,106.000000,106.000000,0
2000-03-04,106.209999,106.610001,105.220001,105.709999,105.709999,0
2000-03-11,105.760002,105.889999,104.839996,105.199997,105.199997,0
2000-03-18,105.320000,106.339996,104.650002,104.769997,104.769997,0
2000-03-25,104.669998,106.519997,104.480003,105.440002,105.440002,0
2000-04-01,105.610001,106.180000,104.230003,105.970001,105.970001,0
2000-04-08,106.080002,106.419998,105.480003,105.750000,105.750000,0
2000-04-15,105.300003,107.550003,104.959999,107.449997,107.449997,0
2000-04-22,107.080002,110.320000,106.779999,110.139999,110.139999,0
2000-04-29,109.900002,112.230003,109.510002,111.309998,111.309998,0
2000-05-06,111.309998,111.860001,109.800003,109.900002,109.900002,0
2000-05-13,109.910004,112.860001,109.809998,111.470001,111.470001,0
2000-05-20,111.480003,111.970001,109.000000,109.120003,109.120003,0
2000-05-27,109.029999,109.519997,107.400002,108.120003,108.120003,0
2000-06-03,107.809998,108.040001,105.559998,106.989998,106.989998,0
2000-06-10,107.059998,107.370003,105.919998,105.959999,105.959999,0
2000-06-17,106.000000,108.199997,105.589996,108.010002,108.010002,0
2000-06-24,108.059998,108.639999,106.370003,106.839996,106.839996,0
2000-07-01,106.820000,107.690002,106.699997,107.650002,107.650002,0
2000-07-08,107.529999,108.930000,106.779999,108.449997,108.449997,0
2000-07-15,108.320000,109.919998,108.290001,108.419998,108.419998,0
